时刻,距离组,镜面数,平均截断效率
6月12时,100-150 m,268,0.8589
6月12时,150-200 m,260,0.9457
6月12时,200-250 m,403,0.9683
6月12时,250-300 m,439,0.9628
6月12时,300-350 m,375,0.9518
12月12时,100-150 m,268,0.8551
12月12时,150-200 m,260,0.9356
12月12时,200-250 m,403,0.9609
12月12时,250-300 m,439,0.9613
12月12时,300-350 m,375,0.9546
3月12时,100-150 m,268,0.8481
3月12时,150-200 m,260,0.9333
3月12时,200-250 m,403,0.9592
3月12时,250-300 m,439,0.9573
3月12时,300-350 m,375,0.9495
6月9时,100-150 m,268,0.8481
6月9时,150-200 m,260,0.9358
6月9时,200-250 m,403,0.9592
6月9时,250-300 m,439,0.9575
6月9时,300-350 m,375,0.9495
